industry,6/04/2023,7/04/2023,8/04/2023,9/04/2023,10/04/2023,14/04/2023,16/04/2023,17/04/2023,18/04/2023,19/04/2023,25/04/2023,3/05/2023,4/05/2023,7/05/2023,9/05/2023,11/05/2023,12/05/2023,13/05/2023,14/05/2023,15/05/2023,16/05/2023,17/05/2023,18/05/2023,20/05/2023,20/05/2023,21/05/2023,22/05/2023,23/05/2023,24/05/2023,25/05/2023,26/05/2023,27/05/2023,28/05/2023
accounting,9198 ,8886 ,8640 ,8391 ,8154 ,8416 ,8225 ,8229 ,8418 ,8656 ,7963 ,8103 ,8122 ,7877 ,8347 ,8624 ,8636 ,8435 ,8218 ,8323 ,8521 ,8704 ,8741 ,8502 ,8501 ,8339 ,8330 ,8571 ,8833 ,8916 ,"9,097","8,647","8,412"
administration-office-support,12136 ,11807 ,11476 ,11166 ,10838 ,11190 ,10870 ,10860 ,11148 ,11503 ,10652 ,10988 ,11018 ,10624 ,11314 ,11838 ,11855 ,11590 ,11234 ,11327 ,11540 ,11790 ,11711 ,11440 ,11441 ,11140 ,11199 ,11537 ,11829 ,11931 ,"12,172","11,517","11,178"
advertising-arts-media,811 ,801 ,772 ,756 ,736 ,756 ,761 ,731 ,742 ,764 ,759 ,781 ,767 ,736 ,774 ,817 ,820 ,794 ,777 ,780 ,805 ,797 ,818 ,809 ,805 ,784 ,775 ,791 ,820 ,823 ,840,789,777
banking-financial-services,3320 ,3241 ,3142 ,3022 ,2914 ,3095 ,2909 ,2904 ,2964 ,3059 ,2706 ,2724 ,2692 ,2553 ,2755 ,2958 ,2961 ,2873 ,2739 ,2774 ,2839 ,2877 ,2870 ,2736 ,2733 ,2636 ,2639 ,2725 ,2788 ,2819 ,"2,884","2,779","2,705"
call-centre-customer-service,3724 ,3600 ,3495 ,3390 ,3286 ,3374 ,3281 ,3338 ,3419 ,3486 ,3271 ,3312 ,3337 ,3206 ,3390 ,3526 ,3550 ,3464 ,3362 ,3394 ,3532 ,3548 ,3535 ,3490 ,3489 ,3408 ,3397 ,3485 ,3552 ,3578 ,"3,638","3,471","3,369"
ceo-general-management,697 ,678 ,658 ,641 ,632 ,640 ,631 ,636 ,630 ,652 ,589 ,587 ,590 ,572 ,612 ,647 ,671 ,657 ,639 ,625 ,650 ,672 ,666 ,649 ,650 ,631 ,626 ,638 ,647 ,640 ,661,632,598
community-services-development,10562 ,10276 ,9945 ,9655 ,9313 ,9497 ,9266 ,9339 ,9485 ,9790 ,9215 ,9373 ,9395 ,9067 ,9713 ,10231 ,10295 ,10071 ,9772 ,9793 ,10083 ,10343 ,10334 ,10110 ,10106 ,9824 ,9749 ,9994 ,10179 ,10215 ,"10,574","10,014","9,643"
construction,8478 ,8212 ,7946 ,7708 ,7476 ,7674 ,7384 ,7359 ,7543 ,7759 ,7034 ,7183 ,7134 ,6787 ,7428 ,7884 ,7902 ,7697 ,7472 ,7504 ,7706 ,7874 ,7809 ,7623 ,7615 ,7433 ,7492 ,7765 ,7945 ,8022 ,"8,134","7,693","7,491"
consulting-strategy,1328 ,1296 ,1258 ,1213 ,1172 ,1215 ,1161 ,1135 ,1155 ,1172 ,1078 ,1066 ,1085 ,1060 ,1076 ,1107 ,1129 ,1106 ,1081 ,1067 ,1100 ,1128 ,1123 ,1149 ,1151 ,1119 ,1134 ,1175 ,1213 ,1221 ,"1,260","1,195","1,146"
design-architecture,1465 ,1432 ,1400 ,1361 ,1306 ,1338 ,1315 ,1347 ,1343 ,1331 ,1231 ,1242 ,1252 ,1182 ,1268 ,1308 ,1314 ,1301 ,1269 ,1256 ,1274 ,1295 ,1291 ,1270 ,1268 ,1238 ,1231 ,1259 ,1277 ,1283 ,"1,295","1,218","1,179"
education-training,13588 ,13262 ,12935 ,12627 ,12236 ,12528 ,12212 ,12165 ,12513 ,12700 ,12129 ,12830 ,12921 ,12582 ,13252 ,13831 ,13891 ,13632 ,13299 ,13256 ,13466 ,13929 ,13864 ,13714 ,13716 ,13368 ,13348 ,14422 ,14828 ,14849 ,"15,205","14,561","13,981"
engineering,7200 ,6949 ,6742 ,6492 ,6234 ,6442 ,6299 ,6152 ,6275 ,6419 ,5876 ,5921 ,5886 ,5624 ,6041 ,6416 ,6481 ,6317 ,6089 ,6119 ,6325 ,6475 ,6479 ,6391 ,6379 ,6169 ,6164 ,6374 ,6522 ,6610 ,"6,673","6,315","6,144"
farming-animals-conservation,1513 ,1460 ,1418 ,1375 ,1315 ,1310 ,1277 ,1267 ,1307 ,1348 ,1285 ,1391 ,1394 ,1351 ,1441 ,1549 ,1549 ,1516 ,1476 ,1469 ,1493 ,1535 ,1518 ,1482 ,1483 ,1435 ,1420 ,1449 ,1500 ,1481 ,"1,501","1,421","1,356"
government-defence,10832 ,10494 ,10266 ,10072 ,9583 ,9232 ,9381 ,9141 ,9087 ,9468 ,9006 ,9035 ,9187 ,9139 ,9264 ,9835 ,10212 ,10013 ,9776 ,9605 ,9791 ,10028 ,10171 ,10346 ,10344 ,10102 ,9856 ,10595 ,10934 ,11370 ,"11,691","11,048","10,330"
healthcare-medical,24612 ,23815 ,23083 ,22413 ,21628 ,22191 ,21710 ,21657 ,22383 ,23083 ,21970 ,23471 ,23482 ,22530 ,24134 ,25380 ,25438 ,24862 ,24010 ,24135 ,24735 ,25332 ,25317 ,24715 ,24699 ,24064 ,24078 ,24752 ,25313 ,25435 ,"25,769","24,075","23,228"
hospitality-tourism,13111 ,12762 ,12341 ,11917 ,11537 ,11740 ,11428 ,11906 ,12181 ,12512 ,11729 ,12624 ,12594 ,12209 ,12840 ,13296 ,13254 ,13056 ,12727 ,12698 ,12999 ,13199 ,13159 ,12866 ,12866 ,12501 ,12569 ,12867 ,13077 ,12992 ,"13,243","12,707","12,272"
human-resources-recruitment,4743 ,4586 ,4478 ,4355 ,4219 ,4420 ,4301 ,4245 ,4286 ,4364 ,4110 ,4155 ,4192 ,4106 ,4346 ,4498 ,4568 ,4447 ,4320 ,4326 ,4398 ,4519 ,4549 ,4495 ,4493 ,4393 ,4351 ,4465 ,4559 ,4541 ,"4,699","4,449","4,334"
information-communication-technology,14534 ,14099 ,13709 ,13316 ,12964 ,13202 ,12892 ,12913 ,13028 ,13227 ,12245 ,12481 ,12418 ,11878 ,12695 ,13256 ,13337 ,13035 ,12675 ,12640 ,13040 ,13166 ,13076 ,12769 ,12764 ,12388 ,12415 ,12765 ,12984 ,13137 ,"13,292","12,585","12,278"
insurance-superannuation,1149 ,1124 ,1094 ,1068 ,1036 ,1094 ,1044 ,1030 ,1068 ,1095 ,1066 ,1074 ,1077 ,1008 ,1072 ,1133 ,1127 ,1089 ,1057 ,1082 ,1113 ,1146 ,1143 ,1115 ,1115 ,1058 ,1048 ,1109 ,1122 ,1112 ,"1,148","1,093","1,078"
legal,2862 ,2794 ,2723 ,2648 ,2573 ,2609 ,2549 ,2512 ,2549 ,2604 ,2433 ,2500 ,2520 ,2408 ,2559 ,2689 ,2701 ,2632 ,2574 ,2579 ,2648 ,2679 ,2648 ,2601 ,2601 ,2525 ,2537 ,2618 ,2679 ,2686 ,"2,717","2,590","2,503"
manufacturing-transport-logistics,18610 ,18007 ,17340 ,16644 ,16148 ,16730 ,16152 ,16238 ,16709 ,17206 ,15777 ,16309 ,16315 ,15515 ,16694 ,17538 ,17569 ,17082 ,16477 ,16495 ,16992 ,17358 ,17309 ,16761 ,16750 ,16195 ,16287 ,16821 ,17184 ,17269 ,"17,570","16,468","16,003"
marketing-communications,4234 ,4132 ,4006 ,3890 ,3770 ,3909 ,3831 ,3832 ,3913 ,3960 ,3628 ,3821 ,3831 ,3674 ,3922 ,4097 ,4103 ,3997 ,3885 ,3855 ,3950 ,3997 ,3992 ,3934 ,3931 ,3837 ,3803 ,3894 ,4007 ,4021 ,"4,129","3,919","3,787"
mining-resources-energy,7550 ,7289 ,7032 ,6820 ,6570 ,6770 ,6606 ,6609 ,6815 ,7128 ,6707 ,6940 ,7022 ,6696 ,7167 ,7573 ,7608 ,7420 ,7186 ,7186 ,7381 ,7567 ,7557 ,7367 ,7361 ,7162 ,7196 ,7350 ,7622 ,7651 ,"7,803","7,307","7,078"
real-estate-property,3178 ,3079 ,3003 ,2913 ,2838 ,2945 ,2895 ,2911 ,2980 ,3034 ,2836 ,2828 ,2834 ,2737 ,2934 ,3053 ,3027 ,2944 ,2845 ,2822 ,2923 ,2989 ,2997 ,2948 ,2947 ,2882 ,2888 ,2983 ,3034 ,3008 ,"3,071","2,923","2,852"
retail-consumer-products,10671 ,10384 ,10100 ,9795 ,9587 ,9843 ,9557 ,9615 ,9817 ,10004 ,9459 ,10245 ,10214 ,9892 ,10391 ,10892 ,10790 ,10547 ,10229 ,10313 ,10566 ,10770 ,10746 ,10441 ,10515 ,10278 ,10353 ,10529 ,10823 ,10827 ,"10,929","10,374","10,096"
sales,7976 ,7712 ,7479 ,7201 ,6965 ,7341 ,7075 ,7128 ,7317 ,7537 ,7085 ,7475 ,7470 ,7087 ,7548 ,7892 ,7900 ,7694 ,7450 ,7530 ,7774 ,7968 ,7963 ,7741 ,7740 ,7481 ,7509 ,7752 ,7918 ,7904 ,"8,097","7,664","7,436"
science-technology,1323 ,1291 ,1251 ,1217 ,1162 ,1174 ,1166 ,1105 ,1082 ,1105 ,996 ,991 ,1004 ,992 ,1039 ,1103 ,1124 ,1097 ,1071 ,1062 ,1114 ,1129 ,1127 ,1121 ,1121 ,1082 ,1068 ,1108 ,1137 ,1158 ,"1,201","1,156","1,123"
self-employment,40 ,38 ,36 ,34 ,34 ,35 ,35 ,36 ,37 ,38 ,34 ,34 ,32 ,26 ,24 ,28 ,26 ,26 ,26 ,26 ,25 ,25 ,23 ,22 ,22 ,22 ,23 ,25 ,25 ,25 ,26,25,25
sport-recreation,1429 ,1391 ,1345 ,1305 ,1257 ,1244 ,1188 ,1177 ,1208 ,1230 ,1117 ,1152 ,1171 ,1102 ,1182 ,1262 ,1272 ,1247 ,1210 ,1239 ,1280 ,1317 ,1298 ,1265 ,1263 ,1224 ,1229 ,1266 ,1300 ,1302 ,"1,349","1,259","1,212"
trades-services,29413 ,28410 ,27380 ,26388 ,25567 ,26409 ,25517 ,25620 ,26411 ,27307 ,25106 ,26120 ,26122 ,24783 ,26615 ,28166 ,28014 ,27308 ,26357 ,26546 ,27354 ,28070 ,28031 ,27006 ,27007 ,26134 ,26306 ,27226 ,27966 ,28027 ,"28,646","26,930","26,144"
